animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
OP_4_reg.tif,1,1966.597,345.894,1966.597,1906.18655,0.03169178273763399,0.25
OP_4_reg.tif,2,1957.936,344.957,1957.936,1906.18655,0.027148156092067707,0.5
OP_4_reg.tif,3,1951.731,344.255,1951.731,1906.18655,0.02389296577504447,0.75
OP_4_reg.tif,4,1948.731,344.085,1948.731,1906.18655,0.02231914289815973,1
OP_4_reg.tif,5,1939.498,345.872,1939.498,1906.18655,0.017475440690734152,1.25
OP_4_reg.tif,6,1916.399,343.532,1916.399,1906.18655,0.005357529146347188,1.5
OP_4_reg.tif,7,1911.816,343.702,1911.816,1906.18655,0.002953252398093006,1.75
OP_4_reg.tif,8,1910.198,343.894,1910.198,1906.18655,0.0021044372598265347,2
OP_4_reg.tif,9,1906.654,345.149,1906.654,1906.18655,2.4522783459997603e-4,2.25
OP_4_reg.tif,10,1902.092,345.043,1902.092,1906.18655,-0.002148032153516034,2.5
OP_4_reg.tif,11,1898.17,342.894,1898.17,1906.18655,-0.004205543261230033,2.75
OP_4_reg.tif,12,1894.057,343.255,1894.057,1906.18655,-0.006363254425439043,3
OP_4_reg.tif,13,1892.65,342.511,1892.65,1906.18655,-0.007101377354697948,3.25
OP_4_reg.tif,14,1890.636,342.638,1890.636,1906.18655,-0.008157937112713303,3.5
OP_4_reg.tif,15,1885.951,343.681,1885.951,1906.18655,-0.010615723838781612,3.75
OP_4_reg.tif,16,1872.117,341.872,1872.117,1906.18655,-0.017873145731722814,4
OP_4_reg.tif,17,1877.406,343.149,1877.406,1906.18655,-0.015098495999775021,4.25
OP_4_reg.tif,18,1870.194,344.085,1870.194,1906.18655,-0.018881966195805934,4.5
OP_4_reg.tif,19,1868.435,343.319,1868.435,1906.18655,-0.01980475100928603,4.75
OP_4_reg.tif,20,1862.463,342.957,1862.463,1906.18655,-0.022937707749537913,5
OP_4_reg.tif,21,1854.943,342.043,1854.943,1906.18655,-0.02688275709426232,5.25
OP_4_reg.tif,22,1853.322,342.383,1853.322,1906.18655,-0.027733146055405757,5.5
OP_4_reg.tif,23,1844.049,342.915,1844.049,1906.18655,-0.03259783256785645,5.75
OP_4_reg.tif,24,1839.261,343.468,1839.261,1906.18655,-0.0351096538793645,6
OP_4_reg.tif,25,1829.58,343.021,1829.58,1906.18655,-0.040188380303071584,6.25
OP_4_reg.tif,26,1820.463,343.362,1820.463,1906.18655,-0.04497122802592429,6.5
OP_4_reg.tif,27,1807.208,343.128,1807.208,1906.18655,-0.051924902103626644,6.75
OP_4_reg.tif,28,1803.961,344.064,1803.961,1906.18655,-0.0536283030640416,7
OP_4_reg.tif,29,1802.357,342.319,1802.357,1906.18655,-0.05446977369554933,7.25
OP_4_reg.tif,30,1785.555,342.191,1785.555,1906.18655,-0.0632842310213551,7.5
OP_4_reg.tif,31,1785.269,341.702,1785.269,1906.18655,-0.0634342688022848,7.75
OP_4_reg.tif,32,1778.163,343.936,1778.163,1906.18655,-0.06716213058999912,8
OP_4_reg.tif,33,1767.671,340.532,1767.671,1906.18655,-0.07266631379809067,8.25
OP_4_reg.tif,34,1763.7,341.787,1763.7,1906.18655,-0.07474953067946044,8.5
OP_4_reg.tif,35,1774.724,343.809,1774.724,1906.18655,-0.06896625621453471,8.75
OP_4_reg.tif,36,1760.064,342.128,1760.064,1906.18655,-0.07665700400624473,9
OP_4_reg.tif,37,1759.654,340.511,1759.654,1906.18655,-0.07687209313275235,9.25
OP_4_reg.tif,38,1751.982,342.17,1751.982,1906.18655,-0.08089688283657229,9.5
OP_4_reg.tif,39,1754.633,342.936,1754.633,1906.18655,-0.07950614802103176,9.75
OP_4_reg.tif,40,1748.223,343.404,1748.223,1906.18655,-0.08286888290130887,10
OP_4_reg.tif,41,1745.29,342.468,1745.29,1906.18655,-0.08440755706727651,10.25
OP_4_reg.tif,42,1728.293,342.085,1728.293,1906.18655,-0.09332431288007988,10.5
OP_4_reg.tif,43,1737.304,343.383,1737.304,1906.18655,-0.08859707356554364,10.75
OP_4_reg.tif,44,1735.541,342.638,1735.541,1906.18655,-0.0895219568095263,11
OP_4_reg.tif,45,1727.551,344.043,1727.551,1906.18655,-0.09371357173829602,11.25
OP_4_reg.tif,46,1724.88,341.83,1724.88,1906.18655,-0.09511479870634897,11.5
OP_4_reg.tif,47,1715.011,341.532,1715.011,1906.18655,-0.10029215136367421,11.75
OP_4_reg.tif,48,1714.216,342.021,1714.216,1906.18655,-0.1007092144260487,12
OP_4_reg.tif,49,1707.293,342.17,1707.293,1906.18655,-0.10434107301827306,12.25
OP_4_reg.tif,50,1692.583,341.787,1692.583,1906.18655,-0.11205805119126448,12.5
OP_4_reg.tif,51,1687.982,342.638,1687.982,1906.18655,-0.11447177087678011,12.75
OP_4_reg.tif,52,1696.403,340.617,1696.403,1906.18655,-0.11005405006136461,13
OP_4_reg.tif,53,1695.668,340.915,1695.668,1906.18655,-0.11043963666620144,13.25
OP_4_reg.tif,54,1708.346,343.191,1708.346,1906.18655,-0.10378866118848645,13.5
OP_4_reg.tif,55,1696.279,342.213,1696.279,1906.18655,-0.11011910140694252,13.75
OP_4_reg.tif,56,1697.703,342.617,1697.703,1906.18655,-0.10937206014804791,14
OP_4_reg.tif,57,1714.936,342.83,1714.936,1906.18655,-0.10033149693559636,14.25
OP_4_reg.tif,58,1719.014,343.489,1719.014,1906.18655,-0.09819214703828437,14.5
OP_4_reg.tif,59,1713.021,341.404,1713.021,1906.18655,-0.10133612053867443,14.75
OP_4_reg.tif,60,1730.403,342.894,1730.403,1906.18655,-0.0922173907900042,15
OP_4_reg.tif,61,1722.488,343.298,1722.488,1906.18655,-0.09636966014685176,15.25
OP_4_reg.tif,62,1707.693,342.234,1707.693,1906.18655,-0.10413122996802171,15.5
OP_4_reg.tif,63,1697.629,341.681,1697.629,1906.18655,-0.10941088111234444,15.75
OP_4_reg.tif,64,1699.272,342.298,1699.272,1906.18655,-0.10854895078343721,16
OP_4_reg.tif,65,1698.431,341.17,1698.431,1906.18655,-0.10899014579659051,16.25
OP_4_reg.tif,66,1681.572,341.915,1681.572,1906.18655,-0.11783450575705721,16.5
OP_4_reg.tif,67,1668.622,341.426,1668.622,1906.18655,-0.12462817450894291,16.75
OP_4_reg.tif,68,1659.823,338.17,1659.823,1906.18655,-0.12924419700684586,17
OP_4_reg.tif,69,1650.417,339.468,1650.417,1906.18655,-0.13417865633350523,17.25
OP_4_reg.tif,70,1652.021,339.596,1652.021,1906.18655,-0.1333371857019975,17.5
OP_4_reg.tif,71,1646.17,339.809,1646.17,1906.18655,-0.1364066649195483,17.75
OP_4_reg.tif,72,1633.912,339.511,1633.912,1906.18655,-0.1428373051944994,18
OP_4_reg.tif,73,1634.293,341.298,1634.293,1906.18655,-0.1426374296891351,18.25
OP_4_reg.tif,74,1622.247,339.468,1622.247,1906.18655,-0.14895685314745288,18.5
OP_4_reg.tif,75,1618.735,338.723,1618.735,1906.18655,-0.15079927512865937,18.75
OP_4_reg.tif,76,1618.898,342.064,1618.898,1906.18655,-0.15071376408568196,19
OP_4_reg.tif,77,1606.594,340.574,1606.594,1906.18655,-0.15716853631141184,19.25
OP_4_reg.tif,78,1599.615,339.723,1599.615,1906.18655,-0.1608297729306714,19.5
OP_4_reg.tif,79,1593.678,340.255,1593.678,1906.18655,-0.16394436840402624,19.75
OP_4_reg.tif,80,1598.929,340.745,1598.929,1906.18655,-0.16118965376185235,20
OP_4_reg.tif,81,1593.078,338.809,1593.078,1906.18655,-0.16425913297940328,20.25
OP_4_reg.tif,82,1591.265,339.17,1591.265,1906.18655,-0.1652102466046672,20.5
OP_4_reg.tif,83,1592.41,338.681,1592.41,1906.18655,-0.16460957087332287,20.75
OP_4_reg.tif,84,1583.205,337.979,1583.205,1906.18655,-0.16943858406723097,21
OP_4_reg.tif,85,1581.007,338.83,1581.007,1906.18655,-0.1705916716283618,21.25
OP_4_reg.tif,86,1577.64,338.064,1577.64,1906.18655,-0.1723580255038521,21.5
OP_4_reg.tif,87,1564.686,336.894,1564.686,1906.18655,-0.1791537926862405,21.75
OP_4_reg.tif,88,1567.276,336.894,1567.276,1906.18655,-0.17779505893586325,22
OP_4_reg.tif,89,1554.813,338.191,1554.813,1906.18655,-0.18433324377406807,22.25
OP_4_reg.tif,90,1553.523,339.383,1553.523,1906.18655,-0.1850099876111286,22.5
OP_4_reg.tif,91,1540.601,339.085,1540.601,1906.18655,-0.19178896734949671,22.75
OP_4_reg.tif,92,1531.94,337.34,1531.94,1906.18655,-0.196332593995063,23
OP_4_reg.tif,93,1537.594,337.489,1537.594,1906.18655,-0.1933664624797609,23.25
OP_4_reg.tif,94,1528.58,338.936,1528.58,1906.18655,-0.198095275617174,23.5
OP_4_reg.tif,95,1528.795,338.362,1528.795,1906.18655,-0.19798248497766383,23.75
OP_4_reg.tif,96,1528.205,339.085,1528.205,1906.18655,-0.19829200347678458,24
OP_4_reg.tif,97,1530.378,337.936,1530.378,1906.18655,-0.1971520311062944,24.25
OP_4_reg.tif,98,1530.859,338.872,1530.859,1906.18655,-0.1968996948383672,24.5
OP_4_reg.tif,99,1522.42,338.574,1522.42,1906.18655,-0.2013268585910439,24.75
OP_4_reg.tif,100,1521.099,338.979,1521.099,1906.18655,-0.2020198652644989,25
OP_4_reg.tif,101,1519.799,338.234,1519.799,1906.18655,-0.20270185517781558,25.25
OP_4_reg.tif,102,1516.993,337.936,1516.993,1906.18655,-0.20417390417532846,25.5
OP_4_reg.tif,103,1516.145,337.787,1516.145,1906.18655,-0.20461877144186122,25.75
OP_4_reg.tif,104,1513.693,338.191,1513.693,1906.18655,-0.20590510933990167,26
OP_4_reg.tif,105,1513.947,338.17,1513.947,1906.18655,-0.20577185900299214,26.25
OP_4_reg.tif,106,1504.583,338.213,1504.583,1906.18655,-0.21068428480937496,26.5
OP_4_reg.tif,107,1513.329,339.702,1513.329,1906.18655,-0.20609606651563037,26.75
OP_4_reg.tif,108,1508.516,339.149,1508.516,1906.18655,-0.20862100301777906,27
OP_4_reg.tif,109,1504.042,337.915,1504.042,1906.18655,-0.21096809753483992,27.25
OP_4_reg.tif,110,1509.025,335.936,1509.025,1906.18655,-0.20835397773633427,27.5
OP_4_reg.tif,111,1509.544,338.298,1509.544,1906.18655,-0.2080817063786332,27.75
OP_4_reg.tif,112,1510.594,338.234,1510.594,1906.18655,-0.20753086837172358,28
OP_4_reg.tif,113,1508.724,338.638,1508.724,1906.18655,-0.20851188463164846,28.25
OP_4_reg.tif,114,1506.898,337.511,1506.898,1906.18655,-0.20946981815604565,28.5
OP_4_reg.tif,115,1508.968,338.191,1508.968,1906.18655,-0.2083838803709951,28.75
OP_4_reg.tif,116,1506.159,339.383,1506.159,1906.18655,-0.20985750319138483,29
OP_4_reg.tif,117,1499.968,337.638,1499.968,1906.18655,-0.21310534900164932,29.25
OP_4_reg.tif,118,1501.191,338.277,1501.191,1906.18655,-0.21246375387550598,29.5
OP_4_reg.tif,119,1510.926,338.66,1510.926,1906.18655,-0.20735669864001505,29.75
OP_4_reg.tif,120,1513.046,340.34,1513.046,1906.18655,-0.2062445304736831,30
OP_4_reg.tif,121,1521.668,341.936,1521.668,1906.18655,-0.20172136352551645,30.25
OP_4_reg.tif,122,1521.989,340.979,1521.989,1906.18655,-0.2015529644776897,30.5
OP_4_reg.tif,123,1517.664,343.553,1517.664,1906.18655,-0.20382189245853188,30.75
OP_4_reg.tif,124,1530.721,342.979,1530.721,1906.18655,-0.19697209069070387,31
OP_4_reg.tif,125,1538.095,343.319,1538.095,1906.18655,-0.19310363405932116,31.25
OP_4_reg.tif,126,1548.42,342.106,1548.42,1906.18655,-0.18768706032470947,31.5
OP_4_reg.tif,127,1557.466,344.362,1557.466,1906.18655,-0.18294145974327644,31.75
OP_4_reg.tif,128,1554.279,343.34,1554.279,1906.18655,-0.18461338424615362,32
OP_4_reg.tif,129,1565.915,345.17,1565.915,1906.18655,-0.17850904991434335,32.25
OP_4_reg.tif,130,1567.148,344.191,1567.148,1906.18655,-0.17786220871194375,32.5
OP_4_reg.tif,131,1567.933,343.872,1567.933,1906.18655,-0.17745039172582552,32.75
OP_4_reg.tif,132,1569.435,345.915,1569.435,1906.18655,-0.17666243107213192,33
OP_4_reg.tif,133,1565.226,344.723,1565.226,1906.18655,-0.17887050456840115,33.25
OP_4_reg.tif,134,1566.459,344.255,1566.459,1906.18655,-0.17822366336600154,33.5
OP_4_reg.tif,135,1571.177,346.957,1571.177,1906.18655,-0.17574856458828755,33.75
OP_4_reg.tif,136,1566.247,346.851,1566.247,1906.18655,-0.17833488018263471,34
OP_4_reg.tif,137,1564.088,345.213,1564.088,1906.18655,-0.17946750804636616,34.25
OP_4_reg.tif,138,1560.551,344.574,1560.551,1906.18655,-0.1813230452182133,34.5
OP_4_reg.tif,139,1557.466,343.809,1557.466,1906.18655,-0.18294145974327644,34.75
OP_4_reg.tif,140,1553.834,343.936,1553.834,1906.18655,-0.18484683463955814,35
OP_4_reg.tif,141,1553.551,343.362,1553.551,1906.18655,-0.18499529859761102,35.25
OP_4_reg.tif,142,1549.721,344.681,1549.721,1906.18655,-0.18700454580376716,35.5
OP_4_reg.tif,143,1548.597,343.404,1548.597,1906.18655,-0.18759420477497332,35.75
OP_4_reg.tif,144,1545.406,343.447,1545.406,1906.18655,-0.18926822770835308,36
OP_4_reg.tif,145,1543.463,343.809,1543.463,1906.18655,-0.19028754032494877,36.25
OP_4_reg.tif,146,1540.89,344.553,1540.89,1906.18655,-0.19163735574569016,36.5
OP_4_reg.tif,147,1537.714,342.17,1537.714,1906.18655,-0.19330350956468556,36.75
OP_4_reg.tif,148,1541.866,343.106,1541.866,1906.18655,-0.19112533870307705,37
OP_4_reg.tif,149,1541,344.319,1541,1906.18655,-0.19157964890687113,37.25
OP_4_reg.tif,150,1540.905,342.957,1540.905,1906.18655,-0.1916294866313058,37.5
OP_4_reg.tif,151,1533.187,342.383,1533.187,1906.18655,-0.19567840828590466,37.75
OP_4_reg.tif,152,1529.975,345.149,1529.975,1906.18655,-0.1973634479794226,38
OP_4_reg.tif,153,1530.099,343.957,1530.099,1906.18655,-0.19729839663384466,38.25
OP_4_reg.tif,154,1529.922,344.511,1529.922,1906.18655,-0.19739125218358083,38.5
OP_4_reg.tif,155,1527.382,344.298,1527.382,1906.18655,-0.19872375555267655,38.75
OP_4_reg.tif,156,1522.477,342.149,1522.477,1906.18655,-0.20129695595638308,39
OP_4_reg.tif,157,1519.869,343.638,1519.869,1906.18655,-0.20266513264402164,39.25
OP_4_reg.tif,158,1514.58,342.702,1514.58,1906.18655,-0.20543978237596944,39.5
OP_4_reg.tif,159,1517.06,343.298,1517.06,1906.18655,-0.20413875546441138,39.75
OP_4_reg.tif,160,1505.947,343.17,1505.947,1906.18655,-0.2099687200080181,40
OP_4_reg.tif,161,1510.071,343.851,1510.071,1906.18655,-0.2078052381599272,40.25
OP_4_reg.tif,162,1505.784,343.489,1505.784,1906.18655,-0.2100542310509954,40.5
OP_4_reg.tif,163,1512.71,343.915,1512.71,1906.18655,-0.20642079863589421,40.75
OP_4_reg.tif,164,1505.163,341.766,1505.163,1906.18655,-0.2103800123865106,41
OP_4_reg.tif,165,1488.438,343.723,1488.438,1906.18655,-0.219154074925143,41.25
OP_4_reg.tif,166,1498.555,345.617,1498.555,1906.18655,-0.21384661957666204,41.5
OP_4_reg.tif,167,1508.177,344.021,1508.177,1906.18655,-0.2087988450028671,41.75
OP_4_reg.tif,168,1504.502,343.638,1504.502,1906.18655,-0.2107267780270509,42
OP_4_reg.tif,169,1497.587,343.191,1497.587,1906.18655,-0.2143544397582702,42.25
OP_4_reg.tif,170,1499.307,343.234,1499.307,1906.18655,-0.2134521146421896,42.5
OP_4_reg.tif,171,1494.714,341.085,1494.714,1906.18655,-0.2158616374667002,42.75
OP_4_reg.tif,172,1503.428,344.106,1503.428,1906.18655,-0.21129020661697556,43
OP_4_reg.tif,173,1500,343.043,1500,1906.18655,-0.21308856155762926,43.25
OP_4_reg.tif,174,1499.399,342.936,1499.399,1906.18655,-0.2134038507406319,43.5
OP_4_reg.tif,175,1493.477,340.915,1493.477,1906.18655,-0.21651057709960225,43.75
OP_4_reg.tif,176,1493.113,341.915,1493.113,1906.18655,-0.21670153427533095,44
OP_4_reg.tif,177,1494.399,343.532,1494.399,1906.18655,-0.2160268888687731,44.25
OP_4_reg.tif,178,1495.739,343.213,1495.739,1906.18655,-0.2153239146504312,44.5
OP_4_reg.tif,179,1498.951,343.851,1498.951,1906.18655,-0.21363887495691328,44.75
OP_4_reg.tif,180,1490.749,343.043,1490.749,1906.18655,-0.21794170670231613,45
